Year, GDP_Real_millionUSD_2012,GDP_Nominal_millionUSD,GDP Deflator (index 2012=100),Population (in thousands),Nominal GDP per capita (current dollars),Real GDP per capita (year 2012 dollars),U.S. Consumer Price Index *,Costs of Unskilled Labor (index 1860 = 100),Production Workers Hourly Compensation (nominal dollars),Value of Consumer Bundle (dollars),Number of Consumer Units (thousands),Average Size of the Consumer Unit (number of persons),S&P_JanAvg,Annual Yield,PCE,IPP,Inflation_Avg,CAR_ownership,Cinema_AttendancePCT,RADIO_AMstations,TV_stations,Newspaper_Weekly,Newspaper_Sunday,Cstrip_Started,Cstrip_Active,Cstrip_Ended,MZ_Pub,MZ_Issues,CB_total,CB_Publishers,HHI,Price_Avg,adventure,animal,anthropomorphicanimal,aviation,car,children,crime,detective_mystery,domestic,drama,erotica,fantasy,fashion,history,horror_suspense,humor_all,jungle,martial_arts,math_science,medical,military,nature,nonfiction,religious,romance,satire_parody,science_fiction,sports,spy,superhero_all,all_but_superhero,sword_sorcery,teen,war,western_frontier,Genre_Gini,juv_delin,teenage,cinema,graphic nov,comics,Censor47,Censor54,female_lfp_pct,urban_pct,suburban_pct,central_city_pct,tv_penetration_pct,youth_5_19_pct,cars_per1000pop,comic_price_real,comics_per1000pop,suburban_urban_ratio
1983,7122300,3634000,51.02,234333,15508.0,30394.0,99.6,7913.85,11.22,19043.0,87564.0,2.6,144.27,4.91,2280000000000.0,81300000000.0,0.04,125489216.0,8.81,4828.0,1090.0,62645000.0,56747000.0,0,70,1,11.0,37.0,1612,169,1685.582388,1.179608586,129,120,120,0,0,47,21,33,6,30,0,165,3,3,97,262,17,12,2,2,1,0,14,3,11,80,230,9,14,737,875,0,0,0,0,0.772601476,7.05e-07,2.69e-06,3.95e-06,1.36e-09,6.72e-07,1,1,53.3,74.15,46.33,27.820000000000007,98.34,25.9,535.5166195115498,0.285190509546988,0.0068790994012793,62.48145650708024
1984,7637700,4037600,52.86,236394,17080.0,32309.0,103.9,8201.54,11.78,21975.0,90223.0,2.6,166.39,4.53,2490000000000.0,95000000000.0,0.04,127161802.0,8.98,4897.0,1149.0,63340000.0,57574000.0,0,69,5,12.0,40.0,1785,186,1592.219633,1.321294719,183,105,103,1,0,50,11,31,10,39,2,205,11,3,85,298,13,15,2,2,5,1,4,5,8,75,317,7,12,805,980,0,0,0,0,0.783686731,7.19e-07,2.86e-06,4.24e-06,3e-09,6.44e-07,1,1,53.9,74.3,46.84,27.46,98.42,25.2,537.9231367970423,0.3062249935853705,0.0075509530698748,63.04172274562584
1985,7956200,4339000,54.54,238506,18192.0,33358.0,107.6,8484.52,12.5,23490.0,91564.0,2.6,171.61,4.6,2710000000000.0,105000000000.0,0.02,126425301.0,7.98,4975.0,1194.0,62766000.0,58826000.0,0,64,5,13.0,35.0,1901,211,1799.232996,1.40233298,168,110,105,3,1,88,24,39,4,32,3,207,5,3,74,318,6,9,1,2,5,1,9,2,11,99,402,5,9,841,1060,0,0,0,0,0.788248942,6.02e-07,3.19e-06,4.55e-06,4.44e-09,6.91e-07,1,1,54.5,74.45,47.35,27.10000000000001,98.5,24.5,530.0717843576263,0.3138306520297397,0.0079704493807283,63.59973136333108
1986,8231700,4579600,55.63,240683,19028.0,34201.0,109.6,8647.23,12.9,23866.0,94044.0,2.6,208.19,3.98,2890000000000.0,114000000000.0,0.04,128519551.0,7.98,5026.0,1220.0,62502000.0,58925000.0,0,59,5,14.0,32.0,2375,407,1121.285319,1.653190132,211,207,199,3,0,96,43,61,3,30,5,234,7,7,109,410,14,30,6,1,6,0,10,7,15,141,386,5,11,954,1421,0,0,0,0,0.762644952,5.79e-07,3.18e-06,4.33e-06,5.57e-09,6.48e-07,1,1,55.1,74.60000000000001,47.86,26.74000000000001,98.5,24.1,533.9785153085179,0.363219145789781,0.0098677513575948,64.15549597855227
1987,8516400,4855200,57.01,242843,19993.0,35070.0,113.6,8838.23,13.05,24414.0,94150.0,2.6,264.51,3.33,3080000000000.0,120000000000.0,0.04,129980193.0,8.81,5072.0,1285.0,62826000.0,60112000.0,0,54,3,19.0,49.0,2980,542,596.9618486,1.706377205,337,277,272,2,6,99,48,87,5,64,6,264,11,5,111,495,9,64,2,1,14,0,12,6,6,165,549,6,25,1121,1859,0,0,0,0,0.759349746,5.68e-07,3.39e-06,4.35e-06,8.52e-09,6.3e-07,1,1,55.7,74.75,48.37,26.380000000000003,98.5,23.7,535.243729487776,0.3617039004964788,0.0122713028582252,64.70903010033445
1988,8872200,5236400,59.02,245061,21368.0,36204.0,118.3,9175.44,13.58,25892.0,94862.0,2.6,250.48,3.88,3330000000000.0,133000000000.0,0.05,132343515.0,8.81,5199.0,1342.0,62695000.0,61474000.0,0,51,6,23.0,77.0,3013,468,986.9380048,1.965625,389,215,211,7,10,84,35,90,4,67,5,189,5,5,150,414,15,69,1,2,17,0,4,5,7,108,523,21,45,1207,1806,0,0,0,0,0.762656702,5.51e-07,3.45e-06,4.83e-06,1.24e-08,7.57e-07,1,1,56.3,74.9,48.88,26.02000000000001,98.5,23.3,540.043152521209,0.4001035502958579,0.0122948980049865,65.260347129506
1989,9198000,5641600,61.34,247387,22805.0,37181.0,124.0,9484.36,14.0,27810.0,95818.0,2.6,285.41,3.87,3580000000000.0,150000000000.0,0.05,133009695.0,9.98,5223.0,1395.0,62649000.0,62008000.0,0,45,2,21.0,75.0,3143,532,958.8175229,2.355842479,351,211,209,1,14,67,48,81,4,57,5,221,1,4,136,442,37,59,0,1,31,0,19,6,7,97,551,29,45,1304,1839,0,0,0,0,0.763890103,5.71e-07,3.27e-06,4.27e-06,1.27e-08,8.79e-07,1,1,56.9,75.05,49.39,25.66,98.5,22.9,537.6583854446677,0.4574894104380644,0.0127047904699923,65.80946035976017
1990,9371500,5963100,63.63,250181,23835.0,37459.0,130.7,9878.16,14.41,28381.0,96968.0,2.6,339.97,3.56,3810000000000.0,164000000000.0,0.04,132164330.0,8.81,,1436.0,62328000.0,62635000.0,0,43,3,17.0,72.0,3136,491,963.5247195,2.654040896,279,198,197,5,2,68,78,72,12,75,21,252,1,2,159,492,12,49,1,1,13,1,14,3,7,117,531,24,54,1282,1854,77,158,59,24,0.712564381,5.55e-07,3.34e-06,4.42e-06,1.62e-08,8.49e-07,1,1,57.5,75.2,49.9,25.300000000000004,98.5,22.5,528.2748490093172,0.4889770832110176,0.0125349247145066,66.3563829787234
1991,9361300,6158100,65.78,253530,24290.0,36924.0,136.2,10255.46,14.93,29614.0,97918.0,2.6,325.5,3.75,3940000000000.0,179000000000.0,0.03,126764419.0,8.81,,,60687000.0,62068000.0,0,40,3,28.0,84.0,3285,592,986.3208301,2.620870639,222,175,174,9,1,62,79,57,6,63,65,241,15,10,235,465,28,52,1,0,11,0,41,5,13,117,531,31,39,1319,1966,81,171,82,41,0.687091135,4.89e-07,3.3e-06,4.3e-06,1.62e-08,9.18e-07,1,1,57.78,75.58,49.91,25.67,98.54,22.4,499.9977083579852,0.4633668501256975,0.0129570465033723,66.03598835670812
1992,9691100,6520300,67.28,256922,25379.0,37720.0,140.3,10531.36,15.63,29846.0,100019.0,2.5,416.08,2.98,4200000000000.0,188000000000.0,0.03,125087687.0,8.81,,,60164000.0,62160000.0,0,37,0,19.0,86.0,3532,624,1025.266164,2.702320917,191,181,174,6,1,54,93,37,12,61,23,219,4,3,259,466,26,52,1,0,8,0,42,8,8,103,496,47,35,1742,1790,67,152,58,22,0.733396992,6.07e-07,3.26e-06,5.13e-06,1.04e-08,7.39e-07,1,1,58.06,75.96000000000001,49.92,26.040000000000006,98.58,22.3,486.870283588015,0.463805329161511,0.0137473630128988,65.71879936808847
1993,9957700,6858600,68.88,260282,26350.0,38258.0,144.5,10811.98,16.12,30692.0,100049.0,2.5,435.23,2.89,4450000000000.0,197000000000.0,0.03,125843591.0,8.81,,,59812000.0,62566000.0,0,37,1,27.0,88.0,4317,671,949.4497596,2.60293703,182,179,173,3,5,47,95,39,19,72,23,236,6,3,351,538,25,71,1,3,5,0,28,22,5,99,605,24,30,2518,1799,64,169,39,37,0.770540897,5.67e-07,3.49e-06,5.4e-06,2.8e-08,1.01e-06,1,1,58.34,76.34,49.93,26.410000000000004,98.62,22.2,483.48941148446687,0.4337627936498269,0.0165858568783089,65.4047681425203
1994,10358900,7287200,70.35,263455,27660.0,39320.0,148.2,11099.67,16.56,31731.0,102210.0,2.5,472.99,2.79,4720000000000.0,206000000000.0,0.03,126396989.0,9.81,,,59305000.0,62295000.0,0,36,2,31.0,64.0,4651,761,920.9464344,2.628381905,200,198,190,6,2,43,100,50,23,72,51,277,5,4,354,513,14,55,0,1,10,1,14,15,19,100,573,13,26,2715,1936,64,168,40,38,0.775079531,5.76e-07,3.64e-06,5.56e-06,1.97e-08,1.02e-06,1,1,58.62,76.72,49.94,26.78,98.66,22.1,479.7669013683552,0.4270677211363023,0.0176538687821449,65.09384775808134
1995,10637000,7639700,71.82,266588,28658.0,39900.0,152.4,11446.31,16.66,32264.0,103123.0,2.5,465.25,2.96,4960000000000.0,227000000000.0,0.03,126899713.0,8.81,,,58193000.0,61229000.0,0,34,4,34.0,97.0,4692,749,891.8746898,2.945204892,209,189,184,1,1,45,96,49,32,83,38,362,1,4,306,418,18,51,0,0,9,0,22,18,16,112,695,7,49,2589,2103,57,180,27,22,0.775342055,6.44e-07,4.12e-06,5.76e-06,2.31e-08,9.7e-07,1,1,58.9,77.1,49.95,27.14999999999999,98.7,22.0,476.0143479826549,0.4653578333291338,0.0176001920566567,64.78599221789884
1996,11038300,8073100,73.14,269714,29932.0,40926.0,156.9,11842.48,16.84,33797.0,104212.0,2.5,614.42,2.43,5240000000000.0,253000000000.0,0.02,,9.64,,,56983000.0,60798000.0,0,30,3,30.0,91.0,4042,709,843.0688557,3.14354151,225,218,209,4,1,44,117,48,36,137,36,408,0,6,281,440,27,54,1,1,4,0,13,25,20,106,530,16,15,1963,2079,29,152,39,24,0.744496192,6.4e-07,4.01e-06,6.49e-06,2.97e-08,1e-06,1,1,59.16,77.48,49.96,27.520000000000003,98.74,21.94,480.98482466612785,0.482450475212237,0.0149862446888185,64.48115642746515
1997,11529200,8577600,74.4,272958,31424.0,42238.0,160.5,12255.15,18.12,34819.0,105576.0,2.5,766.22,2.02,5540000000000.0,288000000000.0,0.02,,9.64,,,56728000.0,60486000.0,0,27,1,42.0,81.0,3710,668,1016.888863,3.240536839,251,202,195,2,2,61,93,53,22,118,28,422,0,7,327,423,46,46,1,2,2,1,12,9,20,107,436,13,10,1692,2018,24,167,35,39,0.735282034,6.89e-07,4.34e-06,6.36e-06,1.88e-08,1.02e-06,1,1,59.42,77.86,49.97,27.89,98.78,21.88,475.34260582214114,0.4861814771533955,0.0135918346412268,64.17929617261751
1998,12045800,9062800,75.24,276154,32818.0,43620.0,163.0,12681.97,18.18,35535.0,107182.0,2.5,963.36,1.68,5880000000000.0,318000000000.0,0.02,,10.64,,,56182000.0,60066000.0,0,26,0,27.0,83.0,3557,620,1134.06162,3.511572615,251,185,180,1,1,38,85,55,20,85,15,441,0,7,307,453,37,32,1,7,4,1,20,9,21,94,409,15,13,1653,1904,16,169,21,25,0.748718627,6.92e-07,4.21e-06,6.03e-06,2.24e-08,1.08e-06,1,1,59.68,78.24,49.98,28.26,98.82,21.82,477.4106223339151,0.5187648378478527,0.0128804942169948,63.88036809815952
1999,12623400,9631200,76.3,279328,34480.0,45192.0,166.6,13097.0,18.75,36995.0,108465.0,2.5,1248.77,1.34,6280000000000.0,365000000000.0,0.03,,9.64,,,55979000.0,59894000.0,0,26,1,19.0,89.0,3066,450,1201.445988,3.508238826,224,113,106,8,2,42,75,31,12,78,13,391,0,2,271,408,31,42,1,6,1,2,10,11,36,91,303,13,18,1497,1569,32,173,23,27,0.744951927,6.81e-07,4.19e-06,6.52e-06,3.03e-08,1.14e-06,1,1,59.940000000000005,78.62,49.99,28.630000000000003,98.86,21.76,478.36743899644864,0.5070731748504201,0.0109763432237369,63.58432968710252
2000,13138000,10251000,78.03,282398,36300.0,46523.0,172.2,13597.0,19.36,38045.0,109367.0,2.5,1425.59,1.14,6760000000000.0,411000000000.0,0.03,,9.81,,,55773000.0,59421000.0,0,25,5,,,3233,390,1304.69125,3.881738312,239,103,97,8,11,57,116,30,11,78,14,337,0,5,260,444,9,43,2,2,2,0,12,16,31,71,369,15,37,1637,1596,38,160,23,36,0.746968808,5.24e-07,4.23e-06,8.39e-06,3.14e-08,1.36e-06,1,1,60.2,79.0,50.0,29.0,98.9,21.7,479.4649572589041,0.5428121867186991,0.0114483813624742,63.29113924050633
